manufacturer,manufacturer_code,model,model_code,year,year_code,engine_type,engine_type_code,engine_volume,engine_volume_code,test_consumption,factory_consumption,average_consumption
אאודי,1,A-5,1,2017,1,בנזין,1,2,1,16.0,10.0,13.0
אאודי,1,A-6,2,2015,2,בנזין,1,1.8,2,17.5,11.5,14.5
אאודי,1,A3,3,2019,3,בנזין,1,2,1,16.9,13.5,15.2
אאודי,1,Q-2,4,2017,1,בנזין,1,1.4,3,18.1,13.0,15.55
אאודי,1,Q-3,5,2015,2,בנזין,1,2,1,14.9,12.0,13.45
אאודי,1,Q-5,6,2019,3,בנזין,1,2,1,13.7,10.0,11.85
אאודי,1,Q-7,7,2015,2,בנזין,1,3,4,12.7,9.0,10.85
אופל,2,אדם,8,2015,2,בנזין,1,1.4,3,0.0,12.5,12.5
אופל,2,אינסיגניה,9,2011,4,בנזין,1,2,1,0.0,10.3,10.3
אופל,2,אינסיגניה,9,2014,5,בנזין,1,1.6 T,5,15.1,10.8,12.95
אופל,2,אינסיגניה,9,2016,6,בנזין,1,1.6,6,14.2,10.5,12.35
אופל,2,אינסיגניה,9,2018,7,בנזין,1,1.5,7,16.4,11.4,13.9
אופל,2,אינסיגניה,9,2019,3,בנזין,1,1.5,7,16.4,11.5,13.95
אופל,2,אסטרה,10,2011,4,בנזין,1,1.6,6,0.0,9.8,9.8
אופל,2,אסטרה,10,2016,6,בנזין,1,1.4 טורבו,8,18.0,13.0,15.5
אופל,2,אסטרה- סטיישן,11,2016,6,בנזין,1,1.4 טורבו,8,17.8,13.0,15.4
אופל,2,ברלינה,12,2012,8,בנזין,1,1.4 טורבו,8,15.0,12.0,13.5
אופל,2,ברלינה,12,2013,9,בנזין,1,1.6 טורבו,9,13.9,10.2,12.05
אופל,2,ברלינה- טורר,13,2013,9,בנזין,1,1.4 טורבו,8,15.0,11.2,13.1
אופל,2,גרנדלנד,14,2018,7,בנזין,1,1.2,10,19.2,12.0,15.6
אופל,2,גרנדלנד,14,2020,10,בנזין,1,1.2,10,18.9,12.5,15.7
אופל,2,זפירה,15,2012,8,בנזין,1,1.4,3,0.0,10.5,10.5
אופל,2,זפירה,15,2017,1,בנזין,1,1.4,3,14.5,10.8,12.65
אופל,2,מוקה,16,2014,5,בנזין,1,1.4,3,14.7,10.5,12.6
אופל,2,מוקה,16,2014,5,בנזין,1,1.4 טורבו,8,14.7,10.5,12.6
אופל,2,מוקה X,17,2017,1,בנזין,1,1.4,3,16.1,12.0,14.05
אופל,2,מריבה,18,2014,5,בנזין,1,1.4 טורבו,8,13.8,11.5,12.65
אופל,2,קומבו,19,2020,10,בנזין,1,1.2 בנזין,11,19.2,12.5,15.85
אופל,2,קומבו,19,2020,10,בנזין,1,1.5 דיזל,12,23.3,15.5,19.4
אופל,2,קורסה,20,2010,11,בנזין,1,1.4,3,0.0,12.2,12.2
אופל,2,קורסה,20,2011,4,בנזין,1,1.4,3,0.0,12.0,12.0
אופל,2,קורסה,20,2015,2,בנזין,1,1.4,3,20.0,15.5,17.75
אופל,2,קורסה,20,2020,10,בנזין,1,1.2,10,22.5,15.5,19.0
אופל,2,קורסה OPC,21,2012,8,בנזין,1,1.6,6,0.0,8.5,8.5
אופל,2,קרוסלנד,22,2018,7,בנזין,1,1.2,10,18.5,12.5,15.5
אופל,2,קרוסלנד,22,2020,10,בנזין,1,1.2,10,20.0,13.5,16.75
אופל,2,קרוסלנד,22,2022,12,בנזין,1,1.2,10,16.4,12.5,14.45
אינפיניטי,3,EX-37,23,2010,11,בנזין,1,3.7,13,0.0,7.9,7.9
איסוזו,4,D-MAX,24,2015,2,בנזין,1,2.5,14,11.9,10.5,11.2
איסוזו,4,D-MAX,24,2016,6,בנזין,1,2.5,14,11.9,10.5,11.2
אם ג'י MG,5,350,25,2012,8,בנזין,1,1.5,7,0.0,10.0,10.0
אם ג'י MG,5,550,26,2010,11,בנזין,1,1.8,2,0.0,8.0,8.0
אם ג'י MG,5,ZS,27,2018,7,בנזין,1,1,15,14.9,11.0,12.95
אם ג'י MG,5,ZS EV,28,2020,10,בנזין,1,חשמלי,16,263.0,0.0,263.0
ב.מ.וו,6,318i,29,2016,6,בנזין,1,1.5,7,17.6,11.0,14.3
ביואיק,7,לה קרוס,30,2010,11,בנזין,1,2.4,17,0.0,8.2,8.2
ביואיק,7,לה קרוס,30,2010,11,בנזין,1,3,4,0.0,8.7,8.7
גנסיס,8,CV 70,31,2022,12,בנזין,1,2.5,14,10.3,8.5,9.4
דאצ'יה,9,דאסטר,32,2015,2,בנזין,1,1.5 טורבו דיזל,18,19.2,14.5,16.85
דאצ'יה,9,דאסטר,32,2021,13,בנזין,1,1.33,19,15.6,13.0,14.3
דאצ'יה,9,לודג'י,33,2015,2,בנזין,1,1.2 בנזין,11,15.6,11.5,13.55
דאצ'יה,9,לודג'י,33,2015,2,בנזין,1,1.5 דיזל,12,21.2,13.5,17.35
דאצ'יה,9,סנדרו אוטו',34,2017,1,בנזין,1,0.9,20,19.0,13.0,16.0
דוד'ג,10,ג'רני,35,2010,11,בנזין,1,2.4,17,0.0,7.0,7.0
דיהטסו,11,סיריון,36,2010,11,בנזין,1,1.3,21,0.0,12.5,12.5
הונדה,12,CRV,37,2013,9,בנזין,1,2,1,13.3,10.6,11.95
הונדה,12,CRV,37,2015,2,בנזין,1,2,1,13.3,10.5,11.9
הונדה,12,CRV,37,2020,10,בנזין,1,1.5,7,14.0,11.0,12.5
הונדה,12,CRZ,38,2010,11,בנזין,1,1.5,7,0.0,14.7,14.7
הונדה,12,FRV,39,2009,14,בנזין,1,1.8,2,0.0,11.2,11.2
הונדה,12,HRV,40,2016,6,בנזין,1,1.5,7,19.2,12.5,15.85
הונדה,12,HRV,40,2018,7,בנזין,1,1.5,7,18.8,14.5,16.65
הונדה,12,HRV,40,2019,3,בנזין,1,1.5,7,18.8,14.5,16.65
הונדה,12,HRV,40,2020,10,בנזין,1,1.5,7,18.8,14.5,16.65
הונדה,12,אינסייט,41,2010,11,בנזין,1,1.4,3,0.0,16.4,16.4
הונדה,12,אינסייט,41,2012,8,בנזין,1,1.4,3,0.0,16.7,16.7
הונדה,12,אקורד,42,2009,14,בנזין,1,2,1,0.0,10.2,10.2
הונדה,12,אקורד,42,2014,5,בנזין,1,2,1,21.0,19.5,20.25
הונדה,12,ג'אז,43,2011,4,בנזין,1,1.4,3,0.0,17.3,17.3
הונדה,12,ג'אז,43,2015,2,בנזין,1,1.3,21,21.7,16.6,19.15
הונדה,12,ג'אז,43,2017,1,בנזין,1,1.3,21,21.7,16.0,18.85
הונדה,12,סיוויק,44,2010,11,בנזין,1,1.4,3,0.0,15.8,15.8
הונדה,12,סיוויק,44,2017,1,בנזין,1,1.0 טורבו,22,21.2,12.5,16.85
הונדה,12,סיוויק,44,2017,1,בנזין,1,1.5,7,16.3,11.5,13.9
הונדה,12,סיוויק,44,2017,1,בנזין,1,1.5 טורבו,23,16.3,11.5,13.9
הונדה,12,סיוויק,44,2018,7,בנזין,1,1,15,21.2,13.5,17.35
הונדה,12,סיוויק,44,2018,7,בנזין,1,1.0 טורבו,22,21.2,13.3,17.25
הונדה,12,סיוויק,44,2019,3,בנזין,1,1.0 טורבו,22,21.2,13.5,17.35
הונדה,12,סיוויק,44,2019,3,בנזין,1,1.5 טורבו,23,16.6,12.5,14.55
הונדה,12,סיוויק,44,2020,10,בנזין,1,1.5,7,16.6,13.0,14.8
הונדה,12,"סיוויק - ארה""ב",45,2014,5,בנזין,1,1.8,2,16.6,12.4,14.5
הונדה,12,סיוויק (4 דלתות),46,2010,11,בנזין,1,1.8,2,0.0,11.2,11.2
הונדה,12,סיוויק (4 דלתות),46,2013,9,בנזין,1,1.8,2,15.0,12.3,13.65
הונדה,12,סיוויק (4 דלתות),46,2015,2,בנזין,1,1.8,2,15.0,12.5,13.75
הונדה,12,סיוויק (5 דלתות),47,2011,4,בנזין,1,1.8,2,0.0,12.6,12.6
הונדה,12,סיוויק (5 דלתות),47,2012,8,בנזין,1,1.8,2,0.0,12.9,12.9
הונדה,12,סיוויק (5 דלתות),47,2015,2,בנזין,1,1.8,2,15.8,12.5,14.15
הונדה,12,סיוויק טורר,48,2014,5,בנזין,1,1.8,2,15.4,11.8,13.6
הונדה,12,סיוויק טורר,48,2016,6,בנזין,1,1.8,2,15.3,11.8,13.55
הונדה,12,סיוויק סדאן,49,2018,7,בנזין,1,1.6,6,14.9,12.5,13.7
הונדה,12,סיוויק סדאן,49,2019,3,בנזין,1,1.6,6,15.8,13.0,14.4
וולוו,13,S 90,50,2016,6,בנזין,1,2.0 טורבו T6,24,13.9,8.5,11.2
וולוו,13,S40,51,2010,11,בנזין,1,2,1,0.0,8.9,8.9
וולוו,13,S60,52,2011,4,בנזין,1,2,1,0.0,8.4,8.4
וולוו,13,s60 קינטיק,53,2012,8,בנזין,1,1.6 טורבו,9,13.9,10.4,12.15
וולוו,13,s60 קינטיק,53,2014,5,בנזין,1,2.0 טורבו,25,16.9,10.0,13.45
וולוו,13,V40,54,2013,9,בנזין,1,1.6  T4,26,16.4,12.0,14.2
וולוו,13,XC-40,55,2018,7,בנזין,1,2,1,13.8,10.0,11.9
וולוו,13,XC-60,56,2011,4,בנזין,1,3,4,0.0,7.5,7.5
וולוו,13,XC-60,56,2018,7,בנזין,1,פלאג-אין 2.0,27,47.6,11.5,29.55
טויוטה,14,CHR,57,2017,1,בנזין,1,היברידי 1.8,28,26.6,17.0,21.8
טויוטה,14,CHR,57,2017,1,היברידי,2,היברידי 1.8,28,26.6,17.0,21.8
טויוטה,14,CHR,57,2018,7,בנזין,1,1.8,2,25.6,18.5,22.05
טויוטה,14,CHR,57,2019,3,בנזין,1,1.8,2,25.6,18.5,22.05
טויוטה,14,CHR,57,2020,10,בנזין,1,1.8,2,26.9,18.5,22.7
טויוטה,14,CHR,57,2020,10,היברידי,2,1.8,2,26.9,18.5,22.7
טויוטה,14,CHR,57,2022,12,היברידי,2,1.8,2,20.4,19.5,19.95
טויוטה,14,GT 86,58,2012,8,בנזין,1,2,1,14.0,9.8,11.9
טויוטה,14,אוונסיס,59,2015,2,בנזין,1,2,1,16.4,11.3,13.85
טויוטה,14,אוונסיס,59,2016,6,בנזין,1,1.8,2,16.9,13.5,15.2
טויוטה,14,אוריס,60,2012,8,בנזין,1,1.8,2,0.0,19.4,19.4
טויוטה,14,אוריס,60,2013,9,בנזין,1,1.8,2,26.0,19.0,22.5
טויוטה,14,אוריס,60,2014,5,בנזין,1,1.6,6,17.5,12.5,15.0
טויוטה,14,אוריס,60,2015,2,בנזין,1,1.8,2,24.4,18.5,21.45
טויוטה,14,אוריס,60,2018,7,בנזין,1,1.8,2,27.8,20.0,23.9
טויוטה,14,אוריס TS סטיישן,61,2015,2,בנזין,1,1.8,2,25.6,18.0,21.8
טויוטה,14,אייגו,62,2016,6,בנזין,1,1,15,23.6,15.0,19.3
טויוטה,14,אייגו X,63,2022,12,בנזין,1,1,15,20.0,18.0,19.0
טויוטה,14,היילנדר,64,2021,13,היברידי,2,2.5,14,14.1,12.5,13.3
טויוטה,14,הילקס,65,2015,2,בנזין,1,2.4 טורבו דיזל,29,12.0,10.5,11.25
טויוטה,14,וורסו,66,2010,11,בנזין,1,1.8,2,0.0,10.2,10.2
טויוטה,14,וורסו,66,2011,4,בנזין,1,1.8,2,0.0,10.8,10.8
טויוטה,14,וורסו,66,2014,5,בנזין,1,1.8,2,14.7,11.5,13.1
טויוטה,14,וורסו,66,2017,1,בנזין,1,1.8,2,15.2,11.5,13.35
טויוטה,14,יאריס,67,2012,8,בנזין,1,1.4,3,0.0,14.5,14.5
טויוטה,14,יאריס,67,2012,8,בנזין,1,1.5,7,0.0,19.6,19.6
טויוטה,14,יאריס,67,2014,5,בנזין,1,1.4,3,19.6,15.5,17.55
טויוטה,14,יאריס,67,2017,1,בנזין,1,1.5,7,20.8,14.5,17.65
טויוטה,14,יאריס,67,2018,7,בנזין,1,1.5,7,27.8,19.5,23.65
טויוטה,14,יאריס,67,2018,7,היברידי,2,1.5,7,27.8,19.5,23.65
טויוטה,14,יאריס,67,2020,10,היברידי,2,1.5,7,33.3,24.0,28.65
טויוטה,14,יאריס,67,2021,13,בנזין,1,1.5,7,21.3,17.5,19.4
טויוטה,14,יאריס,67,2021,13,היברידי,2,1.5,7,25.6,21.0,23.3
טויוטה,14,יאריס קרוס,68,2021,13,היברידי,2,1.5,7,22.7,21.0,21.85
טויוטה,14,יאריס קרוס,68,2022,12,היברידי,2,1.5,7,22.7,21.0,21.85
טויוטה,14,לנד קרוזר,69,2018,7,בנזין,1,2.8 טורבו דיזל,30,13.3,9.0,11.15
טויוטה,14,סיינה,70,2014,5,בנזין,1,3.5 בנזין,31,9.1,7.8,8.45
טויוטה,14,ספייס וורסו,71,2011,4,בנזין,1,1.4,3,19.2,14.6,16.9
טויוטה,14,פריוס,72,2009,14,בנזין,1,1.5,7,0.0,18.0,18.0
טויוטה,14,פריוס,72,2010,11,בנזין,1,1.8,2,0.0,17.0,17.0
טויוטה,14,פריוס,72,2014,5,בנזין,1,1.8,2,25.6,19.0,22.3
טויוטה,14,פריוס,72,2016,6,בנזין,1,1.8,2,27.8,20.0,23.9
טויוטה,14,פריוס,72,2018,7,בנזין,1,1.8,2,27.8,20.0,23.9
טויוטה,14,פריוס,72,2019,3,בנזין,1,1.8,2,0.0,20.0,20.0
טויוטה,14,פריוס פלאג-אין,73,2020,10,בנזין,1,1.8,2,76.9,32.0,54.45
טויוטה,14,פריוס פלוס,74,2017,1,בנזין,1,1.8,2,24.0,17.0,20.5
טויוטה,14,פריוס פלוס,74,2018,7,בנזין,1,1.8,2,21.7,16.7,19.2
טויוטה,14,פריוס פלוס,74,2018,7,בנזין,1,היברידי1.8,32,21.7,16.7,19.2
טויוטה,14,פריוס פלוס,74,2019,3,בנזין,1,1.8,2,21.7,17.0,19.35
טויוטה,14,פריוס פלוס,74,2019,3,בנזין,1,היברידי 1.8,28,21.7,17.0,19.35
טויוטה,14,פריוס פלוס,74,2020,10,היברידי,2,1.8,2,21.7,17.0,19.35
טויוטה,14,פריוס פלוס- van,75,2013,9,בנזין,1,1.8,2,24.4,18.0,21.2
טויוטה,14,קאמרי,76,2010,11,בנזין,1,2.4,17,0.0,8.7,8.7
טויוטה,14,קאמרי,76,2013,9,בנזין,1,2.5,14,20.4,17.0,18.7
טויוטה,14,קאמרי,76,2015,2,בנזין,1,2.5,14,17.0,14.5,15.75
טויוטה,14,קאמרי,76,2018,7,בנזין,1,2.5,14,19.6,16.0,17.8
טויוטה,14,קאמרי,76,2020,10,בנזין,1,2.5,14,23.3,16.5,19.9
טויוטה,14,קאמרי,76,2021,13,בנזין היברידי,3,2.5,14,18.5,17.0,17.75
טויוטה,14,קורולה,77,2009,14,בנזין,1,1.6,6,0.0,11.2,11.2
טויוטה,14,קורולה,77,2010,11,בנזין,1,1.6,6,0.0,11.6,11.6
טויוטה,14,קורולה,77,2014,5,בנזין,1,1.6,6,17.8,12.0,14.9
טויוטה,14,קורולה,77,2015,2,בנזין,1,1.6,6,19.9,12.2,16.049999999999994
טויוטה,14,קורולה,77,2016,6,בנזין,1,1.6,6,17.9,12.4,15.15
טויוטה,14,קורולה,77,2017,1,בנזין,1,1.6,6,17.9,12.7,15.3
טויוטה,14,קורולה,77,2018,7,בנזין,1,1.6,6,17.9,13.0,15.45
טויוטה,14,קורולה,77,2019,3,בנזין,1,1.6,6,18.2,12.5,15.35
טויוטה,14,קורולה,77,2019,3,בנזין,1,1.8,2,29.4,20.0,24.7
טויוטה,14,קורולה,77,2019,3,בנזין,1,1.8 היברידי,33,29.4,20.0,24.7
טויוטה,14,קורולה,77,2020,10,היברידי,2,1.8,2,29.4,20.0,24.7
טויוטה,14,קורולה,77,2021,13,בנזין,1,1.5,7,16.7,14.0,15.35
טויוטה,14,קורולה,77,2021,13,היברידי,2,1.8,2,22.2,20.0,21.1
טויוטה,14,קורולה,77,2022,12,היברידי,2,1.8,2,22.2,20.0,21.1
טויוטה,14,קורולה Excite,78,2019,3,בנזין,1,1.8,2,30.3,22.0,26.15
טויוטה,14,קורולה Excite,78,2019,3,בנזין,1,1.8 היברידי,33,30.3,22.0,26.15
טויוטה,14,קורולה ספייס SW,79,2019,3,בנזין,1,1.8,2,30.3,21.0,25.65
טויוטה,14,קורולה ספייס SW,79,2019,3,בנזין,1,1.8 היברידי,33,30.3,21.0,25.65
טויוטה,14,קורולה ספייס SW,79,2020,10,היברידי,2,1.8,2,30.3,20.0,25.15
טויוטה,14,קורולה ספייס SW,79,2021,13,היברידי,2,1.8,2,21.7,20.0,20.85
טויוטה,14,קורולה קרוס,80,2022,12,בנזין היברידי,3,1.8,2,19.6,18.0,18.8
טויוטה,14,קורולה-רובוטית,81,2009,14,בנזין,1,1.6,6,0.0,12.0,12.0
טויוטה,14,ראב 4,82,2016,6,היברידי,2,2.5,14,19.6,13.5,16.55
טויוטה,14,ראב 4,82,2018,7,היברידי,2,2.5,14,20.4,14.0,17.2
טויוטה,14,ראב 4,82,2019,3,בנזין,1,2.5 היברידי,34,21.7,17.0,19.35
טויוטה,14,ראב 4,82,2019,3,היברידי,2,2.5,14,21.7,17.0,19.35
טויוטה,14,ראב 4,82,2020,10,בנזין,1,2.4,17,21.7,17.0,19.35
טויוטה,14,ראב 4,82,2020,10,היברידי,2,2.5,14,21.7,17.0,19.35
טויוטה,14,ראב 4,82,2021,13,היברידי,2,2.5,14,17.5,16.5,17.0
טויוטה,14,ראב 4,82,2022,12,היברידי,2,2.5,14,17.5,17.0,17.25
יגואר,15,F-PACE,83,2016,6,בנזין,1,2.0 דיזל,35,18.8,12.8,15.8
יגואר,15,XE,84,2015,2,בנזין,1,2,1,13.3,9.0,11.15
יונדאי,16,i-10,85,2010,11,בנזין,1,1.25,36,0.0,12.3,12.3
יונדאי,16,i-10,85,2011,4,בנזין,1,1.25,36,0.0,12.6,12.6
יונדאי,16,i-10,85,2014,5,בנזין,1,1,15,16.0,13.3,14.65
